Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Lesson),Level (Level2),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Rater 1: Obviously AI-generated Response (yes=1; no= 0),Rater 2: Obviously AI-generated Response (yes=1; no= 0),Source of Truth: Obviously AI-generated,"Rater 1: Authentic, Real Person Response (yes=1; no=0)","Rater 2: Authentic, Real Person Response (yes=1; no=0)","Source of Truth: Authentic, Real Person",Duration (sec),Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (AI_Evaluation),CF (AI_Rephrased_Response),CF (AI_Request_Counter),CF (AiEnabled),CF (Condition),CF (Counterbalanced),CF (Sequence),CF (tool_event_time),CF (tutor_event_time),Event Type
490,All Data,9f4e3739de3b6d56503f47361fb0daff,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,8/12/24 14:45,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,2,8/12/24 14:45,9 open response,1,1,,9,open response,"Carla, I know math can be tough, but you're doing great! Let's finish this assignment together. Afterward, you can tell me all about how you design your scarves. I bet there are some cool math concepts in your designs too!",0,0,0.5,0,1,0,0,,,,,Single-KC,,KC537,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-12 14:45:14.566 UTC,2024-08-12 14:45:14.566 UTC,
492,All Data,a06f730888225c6629c55f943e0e9028,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,8/12/24 14:45,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,2,8/12/24 14:45,11 open response,1,1,,11,open response,"This approach supports Carla because it combines encouragement with an external reward linked to her interests. It makes the task feel achievable and connects the learning process to something she loves, making it more enjoyable and motivating.",1,0,0.5,0,1,0,0,,,,,Single-KC,,KC421,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-12 14:45:38.541 UTC,2024-08-12 14:45:38.542 UTC,
539,All Data,35d951adc7c20a3de4bd5b05b3ffd04b,Stu_013812275010b765048828d0be3eaf55,ctat_session_15bc09b6-9f3a-31d4-4133-b767684c645a,8/6/24 14:10,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/6/24 14:10,1 open response,1,1,,1,open response,Will motivate him by encouraging that you can do this math lesson also,0,0,0,1,1,1,0,,,,,Single-KC,,KC410,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-06 14:10:49.223 UTC,2024-08-06 14:10:49.225 UTC,
541,All Data,71cdff2c4673266d9b10918ace681b21,Stu_013812275010b765048828d0be3eaf55,ctat_session_15bc09b6-9f3a-31d4-4133-b767684c645a,8/6/24 14:11,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/6/24 14:11,3 open response,1,1,,3,open response,This will help him to balance both,0,0,0,1,1,1,0,,,,,Single-KC,,KC175,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-06 14:11:42.443 UTC,2024-08-06 14:11:42.445 UTC,
568,All Data,2b16b3f2d0cef692608ad26495fefab0,Stu_013812275010b765048828d0be3eaf55,ctat_session_15bc09b6-9f3a-31d4-4133-b767684c645a,8/6/24 14:17,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,2,8/6/24 14:17,9 open response,1,1,,9,open response,"Carla, let's work together to complete the rest of your assignment. Once completed, you can explain to me how you make your scarves like we discussed earlier.""",0,0,0.5,0,1,0,0,,,,,Single-KC,,KC537,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-06 14:17:52.422 UTC,2024-08-06 14:17:52.423 UTC,
571,All Data,0d3953f9f61231799ccd136ba160a420,Stu_013812275010b765048828d0be3eaf55,ctat_session_15bc09b6-9f3a-31d4-4133-b767684c645a,8/6/24 14:18,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,3,8/6/24 14:18,11 open response,1,1,,11,open response,"By teaching Carla about the similarities between her math assignment and clothing design and scarf making, you are making the math assignment more authentic and relevant to the real world.",1,0,0.5,0,1,0,0,,,,,Single-KC,,KC421,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-06 14:18:51.853 UTC,2024-08-06 14:18:51.854 UTC,
788,All Data,f9450f366102e8d753f06f5acb2db2ec,Stu_0157987ea84219a82d8343588a19b145,ctat_session_52368a2a-b2d7-f9ec-dbc2-1999635b7e91,8/9/24 20:35,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/9/24 20:29,1 open response,5,1,,1,open response,I appreciate your interest in baseball and your effort in completing a set number of math lessons. Keep it up.,0,0,0,1,1,1,65,,,,,Single-KC,,KC410,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 20:35:09.229 UTC,2024-08-09 20:35:09.230 UTC,
790,All Data,bab4a5f729b17c66c18a06e947a11b49,Stu_0157987ea84219a82d8343588a19b145,ctat_session_52368a2a-b2d7-f9ec-dbc2-1999635b7e91,8/9/24 20:41,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/9/24 20:41,3 open response,1,1,,3,open response,Because it will make the student feel that the tutor appreciated him for his interest in sports and he will also be guided in math further by the tutor.,0,0,0,1,1,1,0,,,,,Single-KC,,KC175,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 20:41:39.065 UTC,2024-08-09 20:41:39.066 UTC,
805,All Data,be08c53efb716257c2d409d38719cea6,Stu_0157987ea84219a82d8343588a19b145,ctat_session_52368a2a-b2d7-f9ec-dbc2-1999635b7e91,8/9/24 22:01,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/9/24 21:50,9 open response,5,1,,9,open response,I appreciate your interest in fashion. Let me help you with understanding your math assignment. It will help you to continue learning and be successful in math.,0,0,0,1,1,1,123,,,,,Single-KC,,KC537,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 22:01:46.360 UTC,2024-08-09 22:01:46.360 UTC,
808,All Data,b449e75d686346aa624de65b3fc93dfe,Stu_0157987ea84219a82d8343588a19b145,ctat_session_52368a2a-b2d7-f9ec-dbc2-1999635b7e91,8/9/24 22:08,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,8/9/24 22:08,11 open response,2,1,,11,open response,Because it will motivate the student to complete her math work and increase engagement.,0,0,0,1,1,1,28,,,,,Single-KC,,KC421,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 22:08:56.045 UTC,2024-08-09 22:08:56.046 UTC,
1508,All Data,ac4c19fb8679413f9f0e4b3aacb25a9c,Stu_019dc4fbeb5b1cc0be19be454aca3ec8,ctat_session_405b0e7b-b704-f8c7-c6eb-572ee51ef55a,8/9/24 17:23,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/9/24 17:22,1 open response,5,1,,1,open response,"Hey, Kevin!  I noticed how hard you've been working on your math lessons this week great job!  You know, improving your math skills is a lot like practicing baseball. Each problem you solve is like hitting a home run; every lesson you complete is another win for your team. Keep up the awesome work, and soon you'll be an all-star in math, too.					Single-KC		KC410		Focus Edumatics	PLUS Lessons					Mixed	Scenario Kevin, Scenario  Carla		2024-08-09 17:23:00.622 UTC	2024-08-09 17:23:00.624 UTC	",1,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,
1510,All Data,db4ea62d5949aac8d2ad6203c791b770,Stu_019dc4fbeb5b1cc0be19be454aca3ec8,ctat_session_405b0e7b-b704-f8c7-c6eb-572ee51ef55a,8/9/24 17:24,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/9/24 17:24,3 open response,1,1,,3,open response,The approach I selected will best support and increase Kevin's motivation because it combines positive reinforcement with a reward that aligns with his interests.,0,0,0,1,0,1,0,,,,,Single-KC,,KC175,,Focus Edumatics,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 17:24:31.622 UTC,2024-08-09 17:24:31.622 UTC,
1530,All Data,3af128a0acb3dd9b890cac3496a92dbc,Stu_019dc4fbeb5b1cc0be19be454aca3ec8,ctat_session_405b0e7b-b704-f8c7-c6eb-572ee51ef55a,8/9/24 17:31,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/9/24 17:31,9 open response,1,1,,9,open response,"Carla, I know math can be challenging, but think of it like designing your custom-made scarves. Just like you carefully choose patterns and colors to create something beautiful, solving math problems is about finding the right steps to get to a solution. Each problem you solve is like completing a new design. Let's work through this together, step by step, and soon, you'll see how math can be just as rewarding as creating your fashion pieces. You've got the creativity and determination to succeed in both!",1,0,1,0,1,0,0,,,,,Single-KC,,KC537,,Focus Edumatics,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 17:31:54.066 UTC,2024-08-09 17:31:54.067 UTC,
1532,All Data,06de93b5f0bd2701b05abd569899c8f2,Stu_019dc4fbeb5b1cc0be19be454aca3ec8,ctat_session_405b0e7b-b704-f8c7-c6eb-572ee51ef55a,8/9/24 17:33,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,3,8/9/24 17:33,11 open response,1,1,,11,open response,"This approach connects her passion for fashion with her math work, making the learning process more relatable and engaging for her. It helps her see the practical application of math in something she loves, which can significantly boost her motivation and engagement.",0,0,0.5,0,1,0,0,,,,,Single-KC,,KC421,,Focus Edumatics,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 17:33:29.253 UTC,2024-08-09 17:33:29.253 UTC,
1837,All Data,5f23eeaa2ed7d283981bbf7069fe8fcb,Stu_02348639a6108a7c180e02499cb289f7,ctat_session_8d5e29d5-a7ec-4d23-e039-6180590da561,8/5/24 20:50,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/5/24 20:49,1 open response,2,1,,1,open response,"Great job hitting your effort goal this week! I know math isn't your favorite, but think of it like a baseball game. Each lesson you complete is like making a solid hit or scoring a run. The more you practice, the better you get, and every little bit helps you get closer to that big win!  Keep pushing, and soon you'll be knocking those math problems out of the park just like your favorite baseball players. I'm here cheering for you, let's make this week a winning one!",1,1,1,0,0,0,17,,,,,Single-KC,,KC410,,Teacher Hub,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-05 20:50:01.829 UTC,2024-08-05 20:50:01.830 UTC,
1841,All Data,518fe0fbcd8a5fcf2ae77a64e1bdf74d,Stu_02348639a6108a7c180e02499cb289f7,ctat_session_8d5e29d5-a7ec-4d23-e039-6180590da561,8/5/24 20:52,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/5/24 20:52,3 open response,1,1,,3,open response,"The approach I selected works best because it focuses on celebrating Kevin's hard work and connecting it to something he loves baseball. By rewarding his effort with a chance to talk about his favorite sport, it makes him feel appreciated and keeps him motivated. It shows that his hard work in math is valued and that there's something exciting for him to look forward to. This positive reinforcement helps make math feel more rewarding and keeps him engaged.",0,0,0.5,0,0,0,0,,,,,Single-KC,,KC175,,Teacher Hub,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-05 20:52:00.393 UTC,2024-08-05 20:52:00.394 UTC,
1852,All Data,6cca46a267b29d466f3eba0c8b2a7d78,Stu_02348639a6108a7c180e02499cb289f7,ctat_session_8d5e29d5-a7ec-4d23-e039-6180590da561,8/5/24 20:57,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/5/24 20:57,9 open response,1,1,,9,open response,"Hey Carla! I know math can be tough right now, but think of it like designing one of your custom scarves. Just like you start with a basic pattern and add details to make it unique, math is about starting with the basics and working through problems to create something special. Every time you figure out a math problem, it's like adding a new design element to your scarf. Imagine how great it will feel when you master this math concept just like when you finish a beautiful scarf! Keep going, and we'll work through it together. You've got this!",1,1,1,0,0,0,0,,,,,Single-KC,,KC537,,Teacher Hub,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-05 20:57:31.320 UTC,2024-08-05 20:57:31.320 UTC,
1854,All Data,c7cd8d25856d52f5a99664d6ac581ee7,Stu_02348639a6108a7c180e02499cb289f7,ctat_session_8d5e29d5-a7ec-4d23-e039-6180590da561,8/5/24 20:58,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,8/5/24 20:58,11 open response,1,1,,11,open response,"I think this approach will best support Carla's motivation because it combines encouragement with a personal interest of hers. By saying you'll work together on the math assignment, you're showing her she's not alone and giving her support. The promise of talking about her scarves afterward connects her passion to the task at hand, making the whole experience more enjoyable and rewarding. This helps keep her motivated and engaged, as she has something she loves to look forward to once she finishes the assignment.",1,1,1,0,0,0,0,,,,,Single-KC,,KC421,,Teacher Hub,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-05 20:58:32.630 UTC,2024-08-05 20:58:32.630 UTC,
1931,All Data,f179efb6c8b649adf6e9a7e65b01a2fb,Stu_0242fd0dec342d2dcaee149d987b82d4,ctat_session_8f540e67-9c12-fa45-cf70-057b644c8d5f,7/29/24 12:58,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,7/29/24 12:58,3 open response,1,1,,3,open response,"The approach selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement for several reasons: Positive Reinforcement: The message acknowledges Kevin's hard work and perseverance, providing positive reinforcement. Recognizing and praising effort encourages him to continue putting in the effort. Tangible Reward: Offering a reward that aligns with his interests (talking about baseball) makes the achievement feel more meaningful and relevant to him. It provides immediate gratification and something to look forward to. Connection to Interests: By tying the reward to his love of baseball, the approach leverages Kevin's existing passions. This connection makes the academic task feel less isolated and more integrated with his interests. Encouraging Perseverance: The message highlights perseverance, a key aspect of motivation and long-term success. It reinforces the idea that sustained effort leads to positive outcomes. Building a Positive Relationship: Offering to spend time discussing something Kevin loves helps build a positive teacher-student relationship. This rapport can increase his overall engagement and willingness to complete assignments. Overall, this approach creates a supportive and motivating environment by combining recognition, rewards, and personal interests, making the learning experience more enjoyable and engaging for Kevin.",1,1,1,0,0,0,0,,,,,Single-KC,,KC175,,Focus Edumatics,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-07-29 12:58:42.231 UTC,2024-07-29 12:58:42.232 UTC,
1942,All Data,edd714b0170ac7c8d7e442c79f81025f,Stu_0242fd0dec342d2dcaee149d987b82d4,ctat_session_8f540e67-9c12-fa45-cf70-057b644c8d5f,7/29/24 13:02,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,7/29/24 13:02,9 open response,1,1,,9,open response,"Carla, I know math can be challenging, but you have an amazing talent for designing custom-made scarves. Just like when you create your designs, solving these math problems takes creativity and persistence. Let's work through this together, and once we're done, I'd love to hear more about your latest scarf designs!",1,1,1,0,0,0,0,,,,,Single-KC,,KC537,,Focus Edumatics,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-07-29 13:02:24.058 UTC,2024-07-29 13:02:24.059 UTC,
