Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Lesson),Level (Level2),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Rater 1: Obviously AI-generated Response (yes=1; no= 0),Rater 2: Obviously AI-generated Response (yes=1; no= 0),Source of Truth: Obviously AI-generated,"Rater 1: Authentic, Real Person Response (yes=1; no=0)","Rater 2: Authentic, Real Person Response (yes=1; no=0)","Source of Truth: Authentic, Real Person",Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (AI_Evaluation),CF (AI_Rephrased_Response),CF (AI_Request_Counter),CF (AiEnabled),CF (Condition),CF (Counterbalanced),CF (Sequence),CF (tool_event_time),CF (tutor_event_time),Event Type
136261,All Data,3b948eb8a8ae943c1a97780d405a2bb6,Stu_941de587ce7cf81b634627dfdf0eb198,ctat_session_231bedc6-387c-feec-2955-dce6562ba7cb,8/12/2024 13:53,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,1,8/12/2024 13:53,11 open response,1,1,,11,open response,"By expressing happiness about his effort, the tutor reinforces that trying is valuable, which boosts Jedidiah's confidence and encourages him to continue working hard.",1,1,1,0,0,0,,,,,Single-KC,,KC238,,E-Learning Course,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-12 13:53:31.311 UTC,2024-08-12 13:53:31.312 UTC,
27486,All Data,9bc755e31f0a29d681d9bb715242f670,Stu_2344f056b6a7fca312a51086d2f87e9f,ctat_session_6cd283c5-101b-f275-9bd7-ba6753619581,12/12/2024 19:48,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,1,12/12/2024 19:48,11 open response,1,1,,11,open response,It gives him the opportunity to find his error and foregrounds the strong work he did.,0,0,0,0,1,1,,,,,Single-KC,,KC238,,Ivy Tutors,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-12-12 19:48:00.575 UTC,2024-12-12 19:48:00.575 UTC,
88647,All Data,dcf99d32029a398db62cd1898ebebed8,Stu_6482d12eda268c87fbe3d397ff3f8276,ctat_session_4dbb1093-74a8-da0f-df71-41f4b09085a5,8/9/2024 18:09,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,1,8/9/2024 18:09,11 open response,1,1,,11,open response,"The selected response supports Jedidah's motivation by acknowledging effort, providing specific feedback, and encouraging collaboration. This approach builds confidence and engagement.",1,1,1,0,0,0,,,,,Single-KC,,KC238,,E-Learning Course,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-09 18:09:21.185 UTC,2024-08-09 18:09:21.200 UTC,
37621,All Data,fbbb06bf03ba6b49cfef045f66e5a855,Stu_2d05ec37270e17e1bf1cce83b09715ca,ctat_session_adacd095-627b-9b9d-151e-92371ddae783,8/13/2024 13:07,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,8/13/2024 13:07,9 open response,1,1,,9,open response,"Jedidiah, I really appreciate your effort on this problem! Let's take a closer look at how you started. Can you show me the steps you used to add the numbers? We'll work through it together and see if we can find where things might have gone off track.",1,1,1,0,0,0,,,,,Single-KC,,KC535,,E-Learning Course,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-13 13:07:23.029 UTC,2024-08-13 13:07:23.030 UTC,
217564,All Data,2818adcc56893ee5995af9eceb2c687f,Stu_f70174290c123cbc58c29828f3d257f4,ctat_session_492d2728-adb6-9f3b-4946-accdc5ecfeb6,2/19/2024 2:16,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,2/19/2024 2:16,9 open response,1,1,,9,open response,"That's great work, nice effort. Can you walk me through what you did to solve the problem?",0,0,0,0,1,1,,,,,Single-KC,,KC535,,[REDACTED] Tutoring,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-02-19 02:16:49.899 UTC,2024-02-19 02:16:49.899 UTC,
167211,All Data,0f5d19b7886420552db7f10c9d7ffe32,Stu_b78eea525e84603c52e9cab83f0c0228,ctat_session_2283696e-950e-7f1c-0ba5-17d3dc2949f4,8/8/2024 16:36,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,1,8/8/2024 16:36,11 open response,1,1,,11,open response,"The selected response supports Jedidah's motivation and engagement because it recognizes his effort and invites him to explain his approach. This approach makes him feel valued and encourages him to think critically about his process, fostering a sense of ownership over his learning. By focusing on his method and showing interest in his problem-solving approach, the tutor helps build confidence and maintains his engagement, rather than simply pointing out mistakes or providing the correct answer.",1,1,1,0,0,0,,,,,Single-KC,,KC238,,Focus Edumatics Pvt Ltd,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-08 16:36:58.693 UTC,2024-08-08 16:36:58.694 UTC,
56458,All Data,b5c9b959225ca801df60680c8ad572c4,Stu_4172187de0a2622f8a1615af0bf5554e,ctat_session_f3756a1a-cf4c-f053-b1d7-48954fe2b8bf,8/9/2024 14:20,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,8/9/2024 14:20,9 open response,1,1,,9,open response,"Great effort, Jedidiah! I see there might be a small mistake. Let's review the steps together. First, add the ones place: 3 [REDACTED] 7 equals 10. Write down 0 and carry over 1. Next, add the tens place: 1 [REDACTED] 4 [REDACTED] 1 (the carry-over) equals 6. Finally, add the hundreds place: 2 [REDACTED] 0 equals 2.So the correct answer is 260.",1,1,1,0,0,0,,,,,Single-KC,,KC535,,Air Tutors,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-09 14:20:13.812 UTC,2024-08-09 14:20:13.812 UTC,
9722,All Data,01bc06707a71d52b532fd81f14e16216,Stu_1011d8732580600c58f5378731893f5f,ctat_session_14a1ba80-4971-cf43-69cb-b3c7e78d01f6,10/17/2024 4:14,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Aaron,11. Why do you think the tutor's response you selected in Question 10 will best support Aaron's motivation to learn and increase engagement?<br/>,1,10/17/2024 4:14,11 open response,1,1,,11,open response,"This response shows appreciation for Aaron's effort, which helps build his confidence and makes him feel valued. Asking him to explain his first step keeps him involved and gives him a chance to think through his process, helping him catch his own mistakes. By working through it together, Aaron can feel supported rather than judged, which makes it more likely he'll stay motivated and engaged in learning.",1,1,1,0,0,0,,,,,Single-KC,,KC1181,,[REDACTED] Tutoring,[REDACTED] Lessons,,,,,Mixed,"Scenario Jedidiah, Scenario  Aaron",,2024-10-17 04:14:31.685 UTC,2024-10-17 04:14:31.685 UTC,
74116,All Data,11727695c441ad9910b2710cc46bfee4,Stu_57008a157c794137cc8710d6f9eaccf6,ctat_session_ede29315-1f40-1e7a-d415-a989835c15fb,8/12/2024 17:22,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,1,8/12/2024 17:22,11 open response,1,1,,11,open response,"This response acknowledges Jedidah's effort and encourages him to explain his process, which helps him recognize his mistake independently. It promotes engagement and critical thinking by involving him in the problem-solving process.",1,1,1,0,0,0,,,,,Single-KC,,KC238,,E-Learning Course,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-12 17:22:26.733 UTC,2024-08-12 17:22:26.733 UTC,
7553,All Data,6433089db68fcfd3e962775b194f8e41,Stu_0b2ad3f658c34b633df57238a0202256,ctat_session_e075a030-8287-fe0b-c0f1-682243723089,7/11/2024 17:57,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,7/11/2024 17:57,9 open response,1,1,,9,open response,"Jedidiah, I appreciate your effort in tackling this problem. Let's take a closer look together. Can you explain how you added these numbers? Let's see if we can find where the mistake might be.",1,1,1,0,0,0,,,,,Single-KC,,KC535,,E-Learning Course,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-07-11 17:57:51.622 UTC,2024-07-11 17:57:51.623 UTC,
8667,All Data,2ca82e7b18af59596848f70b32bb563f,Stu_0d0ff3af8c83adf7ba258de1d1ab892e,ctat_session_5fa99452-eb88-794e-fca9-e6bb8e466c52,8/8/2024 15:45,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,8/8/2024 15:45,9 open response,1,1,,9,open response,"Jedidah, it makes me happy to see your effort. Can you show me how you started solving the problem?""",1,1,1,0,0,0,,,,,Single-KC,,KC535,,Tutor Teens,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-08 15:45:11.691 UTC,2024-08-08 15:45:11.691 UTC,
95028,All Data,d049ca401f0fcfd3c5a97c763429924a,Stu_6f47c1f07d588cd83fddf2e1262005d9,ctat_session_890ac437-2d9c-01ac-edc4-0078837e747f,8/12/2024 15:18,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,2,8/12/2024 15:18,11 open response,1,1,,11,open response,"This approach acknowledges his effort, invites him to explain his process, and encourages him to engage in problem-solving. It helps him reflect on his work and find the mistake with guidance, which can boost his motivation and learning.",1,1,1,0,0,0,,,,,Single-KC,,KC238,,E-Learning Course,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-12 15:18:03.767 UTC,2024-08-12 15:18:03.768 UTC,
97665,All Data,d2aadb32cd0c3e3a37da1ad1131b66ba,Stu_7312dc8048e04cd8c2c970d31cc20494,ctat_session_58012d8f-c1b5-c9a3-77a0-44ff04e6c99d,8/16/2024 10:15,UTC,27,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,8/16/2024 10:14,9 open response,4,1,,9,open response,"Jedidiah, I appreciate and am happy to see your work. In your first step, you did not line up the column correctly, let me help you solve it.",0,0,0.5,0,1,0,,,,,Single-KC,,KC535,,Focus edumatic,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-16 10:15:57.264 UTC,2024-08-16 10:15:57.265 UTC,
78831,All Data,a0b3dbcf8e8c822ec993cfbbb9742e53,Stu_598381622d9af22796243a854d81c47a,ctat_session_4a1f4b10-1d50-f0f6-5dc8-7194c560c739,6/21/2023 23:39,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Jedidiah,"9. What exactly would you say to Jedidiah regarding his mistake, to effectively respond in a way that increases his motivation to learn?<br/>",1,6/21/2023 23:39,9 open response,1,1,,9,open response,You calculated the number correct and you are on the right track.,0,0,0,1,1,1,,,,,Single-KC,,,,[REDACTED] Tutoring Corps,[REDACTED] Lessons,,,,,Mixed,"Aaron, Jedidiah",scenario-2,2023-06-21 23:39:17.639 UTC,2023-06-21 23:39:17.639 UTC,
9414,All Data,a054919cd15ca1f6d9cfc4c93499aaf2,Stu_0e8d7922d56eefe57f1ddc9038206c65,ctat_session_d0443d9a-1258-fa2d-9567-651b99067a25,8/8/2024 21:06,UTC,0,ATTEMPT,,RESULT,,Reacting to Errors,Scenario_Jedidiah,11. Why do you think the tutor's response you selected in Question 10 will best support Jedidah's motivation to learn and increase engagement?<br/>,1,8/8/2024 21:06,11 open response,1,1,,11,open response,"The selected response, ""Jedidah, I appreciate your effort. In the first step, it appears you did not line up the columns correctly. Let's try to solve it now!"" best supports Jedidiah's motivation to learn and increases engagement for the following reasons:",1,1,1,0,0,0,,,,,Single-KC,,KC238,,Tutor Teens,[REDACTED] Lessons,,,,,Mixed,"Scenario Aaron, Scenario  Jedidiah",,2024-08-08 21:06:09.624 UTC,2024-08-08 21:06:09.624 UTC,
94469,All Data,8978e756cd541012039644b28bcdec84,Stu_6f122bd8f3e54f538691444c8790de81,ctat_session_41a07270-f5b4-0a94-b051-51ad61e4efb9,1/21/2025 18:01,UTC,0,ATTEMPT,,RESULT,,Giving Effective Praise,Scenario_Kevin,11. Why do you think the example of praise you selected in the prior question will best support and increase Kevin's motivation to complete his math work and increase engagement?<br/>,1,1/21/2025 18:01,11 open response,1,1,,11,open response,"While also praising Kevin for getting the problem correct, it clearly communicates that you are impressed with his effort and perseverance, which he will need to continue solving more problems.",0,0,0.5,0,1,0,,,,,Single-KC,,KC279,,[REDACTED] Tutoring,[REDACTED] Lessons,,,,TRUE,Mixed,"Scenario Carla, Scenario  Kevin",,2025-01-21 18:01:24.902 UTC,2025-01-21 18:01:24.902 UTC,
44259,All Data,d4c3c702b9ea0a7a75b13e178196a8ee,Stu_341ca363554d112345377d2069ed45a8,ctat_session_ba94bce0-ba25-edf5-4498-100016fe0d98,11/29/2023 16:02,UTC,0,ATTEMPT,,RESULT,,Giving Effective Praise,Scenario_Carla,9. What exactly would you say to Carla to provide effective praise that will increase her motivation to complete her math work and increase engagement? <br/>,1,11/29/2023 16:02,9 open response,1,1,,9,open response,"Carla, you're doing a great job tackling this problem! I really like how you're breaking down the information and asking questions. That's a fantastic approach to understanding complex problems. You're definitely on the right track. Let's keep going, and I'm here to help you through any challenging parts. Your persistence and problem-solving skills are impressive. Keep up the good work!",1,1,1,0,0,0,,,,,Single-KC,,KC1258,,[REDACTED] Tutoring,[REDACTED] Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2023-11-29 16:02:40.338 UTC,2023-11-29 16:02:40.338 UTC,
5126,All Data,ece7769cbb79dab126a08194f64ae162,Stu_0755ba73ee26e7e1ac55f6fb3ac68183,ctat_session_d054f761-07ff-3e5f-c2f4-4ad3d91e87e0,11/4/2024 1:37,UTC,5,ATTEMPT,,RESULT,,Giving Effective Praise,Scenario_Kevin,11. Why do you think the example of praise you selected in the prior question will best support and increase Kevin's motivation to complete his math work and increase engagement?<br/>,3,11/4/2024 1:37,11 open response,2,1,,11,open response,"This response is effective because it highlights Kevin's effort and determination, which are important for learning. By recognizing his hard work, he is encouraged to keep trying and staying motivated.",0,0,0.5,0,1,0,,,,,Single-KC,,KC279,,[REDACTED] Tutoring,[REDACTED] Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-11-04 01:37:24.075 UTC,2024-11-04 01:37:24.076 UTC,
185988,All Data,a21b3798efb2045a5611c5827f5c142a,Stu_cff76f9a43168dcd9ecb68fb0445a5f5,ctat_session_eba0a942-2ffb-a4c6-7bf1-5cd8e7acc8c4,7/29/2024 20:05,UTC,0,ATTEMPT,,RESULT,,Giving Effective Praise,Scenario_Carla,9. What exactly would you say to Carla to provide effective praise that will increase her motivation to complete her math work and increase engagement? <br/>,1,7/29/2024 20:05,9 open response,1,1,,9,open response,"Effective Praise for Carla Here are some examples of process-focused praise to encourage Carla: Highlighting effort and perseverance: ""Carla, I'm really impressed with how you're sticking with this problem. Your determination is paying off!"" Focusing on specific strategies: ""That was a clever way to break down the problem. You're really thinking critically about this!"" Encouraging problem-solving skills: ""I like how you're trying different approaches. You're showing great problem-solving skills!"" Building confidence: ""You're making great progress! I can see you're getting closer to the solution."" Remember: Specific praise is more effective than general statements. The goal is to encourage Carla to continue working hard and believe in her ability to solve the problem.",1,1,1,0,0,0,,,,,Single-KC,,KC1258,,Focus Edumatics,[REDACTED] Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-07-29 20:05:22.420 UTC,2024-07-29 20:05:22.420 UTC,
141280,All Data,199cdd17e7f31ad4289693735420644d,Stu_9a5dfeafaf59f245c5094e7da1afbe8f,ctat_session_ea88f228-df7c-efe5-3631-5f8bbaa5d8d2,8/9/2024 17:04,UTC,0,ATTEMPT,,RESULT,,Giving Effective Praise,Scenario_Carla,9. What exactly would you say to Carla to provide effective praise that will increase her motivation to complete her math work and increase engagement? <br/>,1,8/9/2024 17:04,9 open response,1,1,,9,open response,"you're doing a great job working through this problem! I can see you're putting a lot of thought into each step, and that's exactly what you need to do to solve it. Keep going with this approach",0,0,0,1,1,1,,,,,Single-KC,,KC1258,,Tutor Teens,[REDACTED] Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 17:04:38.642 UTC,2024-08-09 17:04:38.642 UTC,
55924,All Data,c7f1d0cb0b3170531d994f6d554f65f0,Stu_4000d015e6ee7c5c73e2ce0149253ffe,ctat_session_69727ec1-d669-2686-ba71-35b3a9e915fc,8/9/2024 16:45,UTC,0,ATTEMPT,,RESULT,,Giving Effective Praise,Scenario_Carla,11. Why do you think the approach you selected in the above question will best support and increase Carla's motivation to complete her math work and increase engagement? <br/>,1,8/9/2024 16:45,11 open response,1,1,,11,open response,This approach is effective because it provides positive reinforcement while also focusing on her progress and improvement. It acknowledges her ongoing effort and encourages her by showing that her understanding is getting better. This type of process-focused praise helps maintain her motivation and engagement by reinforcing that her hard work is leading to tangible improvements and progress.,1,1,1,0,0,0,,,,,Single-KC,,KC808,,FEV Tutor,[REDACTED] Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 16:45:00.723 UTC,2024-08-09 16:45:00.727 UTC,
